N,output,parameter,S1,S1_conf,ST,ST_conf
2048,eta_sp,a_s,0.21085594575243694,0.060266892752414564,0.3527191207541446,0.0489208600547114
2048,eta_sp,Lc,-0.00011992020446025277,0.0015040113670908705,0.0004003615492640059,9.591856802533141e-05
2048,eta_sp,A,0.10215049926888578,0.03436684162076727,0.20800825045394677,0.03031861078231406
2048,eta_sp,L,0.08585579174685999,0.0326928949955941,0.18961913523856244,0.02769804540859028
2048,eta_sp,Qb,0.19895980249899728,0.0631277520064337,0.3811135065404524,0.046011064699631406
2048,eta_sp,I,0.015390241064922901,0.014912880333545191,0.04278417515487593,0.008984381993574972
2048,eta_sp,ACH,0.0,0.0,0.0,0.0
2048,CADR_m3h,Pmax,0.1331852871095665,0.04007714270279092,0.22899455495306542,0.0323629252643013
2048,CADR_m3h,alpha,0.01698309128592606,0.014366578331621077,0.025614531608444832,0.004872073932435198
2048,CADR_m3h,Kc,0.000982216165078127,0.001913455401627635,0.0005405015689841288,7.611415908370993e-05
2048,CADR_m3h,a_s,0.2762211949781334,0.061220957546206364,0.425779689014572,0.0542281372977658
2048,CADR_m3h,Lc,0.0008167278116878269,0.0014138591779154944,0.00036959183627610523,8.194098552135039e-05
2048,CADR_m3h,A,0.15667729842300746,0.04561314410029138,0.27021110622761874,0.030098451054448035
2048,CADR_m3h,L,0.14103622243583525,0.042351447118029864,0.24982243739157514,0.033313513964336336
2048,CADR_m3h,Qb,0.002962500179523053,0.008505647974818335,0.00891126501838701,0.0036190924940072947
2048,CADR_m3h,I,0.02945774788189052,0.024451113614987436,0.06481425412206095,0.014638367920596059
2048,CADR_m3h,ACH,0.0,0.0,0.0,0.0
